,title,date,comments,companies,languages,original_size,repack_size
0,PORNO STUDIO TYCOON – V1.2017.05.05,06/05/2017,110,Zitrix Megalomedia,RUS/ENG,1.7 GB,496 MB
1,WORLD TO THE WEST,06/05/2017,21,Rain Games / Soedesco,ENG/MULTI9,2.2 GB,660 MB
2,ARC CONTINUUM,05/05/2017,36,Akimbo Creations,ENG,3.8 GB,2.6 GB
3,THE LEGEND OF HEROES: TRAILS IN THE SKY THE 3RD + HOTFIX,04/05/2017,66,Nihon Falcom / Marvelous USA,ENG,3.7 GB,2.7 GB
4,MX VS. ATV SUPERCROSS ENCORE + 31 DLCS,04/05/2017,57,"Rainbow Studios, Nordic Games, Nordic Games",ENG/MULTI5,11.3 GB,from 1.9 GB
5,EXPEDITIONS: VIKING – V1.0.1,29/04/2017,108,Logic Artists,RUS/ENG/MULTI5,10.8 GB,3.8 GB
6,IMMORTAL REDNECK – V1.1.1,28/04/2017,18,CremaGames,RUS/ENG/MULTI8,1.9 GB,1.4 GB
7,BLAZBLUE: CENTRAL FICTION – V1.01,28/04/2017,72,Arc System Works,ENG/MULTI5,28.8 GB,14.3/14.5 GB
8,DE BLOB,28/04/2017,35,Blue Tongue Entertainment / THQ Nordic,ENG/MULTI12,4.7 GB,2.7 GB
9,"SLICE, DICE & RICE",28/04/2017,28,Dojo Games / PlayWay,ENG/MULTI3,1.8 GB,435 MB
10,OUTLAST 2,26/04/2017,438,Red Barrels,RUS/ENG/MULTI9,23.4 GB,from 12.8 GB
11,X REBIRTH – V4.10 + 2 DLCS,23/04/2017,61,Egosoft,RUS/ENG/MULTI6,10.9 GB,from 3.5 GB
12,SHINESS: THE LIGHTNING KINGDOM – V1.01 + MAHERIAN LANGUAGE PACK DLC,20/04/2017,66,Ynnis Interactive / Focus Home Interactive,ENG,8.6 GB,6.4 GB
13,LATE SHIFT,20/04/2017,101,CtrlMovie / Wales Interactive,ENG/MULTI4,14.4 GB,7 GB
14,FULL THROTTLE REMASTERED,19/04/2017,34,"LucasArts, Double Fine, Disney Interactive",ENG/MULTI6,4.3 GB,from 2.4 GB
15,ASSASSIN’S CREED: UNITY – V1.5.0 + ALL DLCS,18/04/2017,2429,Ubisoft All-Around-The-World / Ubisoft Entertainment,RUS/ENG/MULTI14,51.2 GB,from 31.2 GB
16,BAYONETTA 2,16/04/2017,319,PlatinumGames / Nintendo of America,ENG/MULTI6,23.3 GB,from 4.4 GB
17,MR. SHIFTY,15/04/2017,84,Team Shifty / tinyBuild,ENG/MULTI6,1.7 GB,538 MB
18,SHOCK TACTICS + HOTFIX,15/04/2017,31,Point Blank Games / EuroVideo Medien,RUS/ENG/MULTI6,6.7 GB,2.6 GB
19,2DARK,13/04/2017,82,Gloomywood / Bigben Interactive,ENG/MULTI8,533 MB,381 MB
20,BAYONETTA,13/04/2017,362,PlatinumGames,ENG/MULTI6,12 GB,from 6.1 GB
